year,age_year,number
2011,3-<4,96877
2011,4-<5,105783
2011,5-<6,115335
2011,6-<7,87554
2011,7-<8,34178
2011,8-<9,11710
2011,9-<10,3376
2011,10-<11,588
2011,11-<12,558
2011,12-<13,501
2011,13-<14,575
2011,14-<15,464
2011,15-<16,1016
2011,16-<17,519
2011,17-<18,512
2011,18-<19,1094
2011,19-<20,1149
2011,20->,4248
2012,0-<1,27297
2012,1-<2,27759
2012,2-<3,41439
2012,3-<4,68512
2012,4-<5,96822
2012,5-<6,105599
2012,6-<7,115056
2012,7-<8,86307
2012,8-<9,29983
2012,9-<10,8089
2012,10-<11,368
2012,11-<12,585
2012,12-<13,558
2012,13-<14,500
2012,14-<15,559
2012,15-<16,426
2012,16-<17,1007
2012,17-<18,510
2012,18-<19,495
2012,19-<20,814
2012,20->,4885
2013,0-<1,21952
2013,1-<2,27299
2013,2-<3,27747
2013,3-<4,41420
2013,4-<5,68488
2013,5-<6,96742
2013,6-<7,105403
2013,7-<8,114665
2013,8-<9,84212
2013,9-<10,23039
2013,10-<11,628
2013,11-<12,362
2013,12-<13,582
2013,13-<14,556
2013,14-<15,493
2013,15-<16,484
2013,16-<17,418
2013,17-<18,992
2013,18-<19,497
2013,19-<20,408
2013,20->,4958
2014,0-<1,28547
2014,1-<2,21943
2014,2-<3,27288
2014,3-<4,27727
2014,4-<5,41402
2014,5-<6,68460
2014,6-<7,96674
2014,7-<8,105216
2014,8-<9,113962
2014,9-<10,73764
2014,10-<11,1840
2014,11-<12,614
2014,12-<13,357
2014,13-<14,567
2014,14-<15,533
2014,15-<16,443
2014,16-<17,477
2014,17-<18,414
2014,18-<19,980
2014,19-<20,451
2014,20->,4950
2015,0-<1,57387
2015,1-<2,28540
2015,2-<3,21932
2015,3-<4,27267
2015,4-<5,27701
2015,5-<6,41372
2015,6-<7,68437
2015,7-<8,96602
2015,8-<9,104943
2015,9-<10,107529
2015,10-<11,9561
2015,11-<12,1817
2015,12-<13,592
2015,13-<14,345
2015,14-<15,526
2015,15-<16,456
2015,16-<17,437
2015,17-<18,473
2015,18-<19,407
2015,19-<20,913
2015,20->,5074
2016,0-<1,87157
2016,1-<2,57370
2016,2-<3,28523
2016,3-<4,21759
2016,4-<5,27144
2016,5-<6,27635
2016,6-<7,41318
2016,7-<8,68362
2016,8-<9,96263
2016,9-<10,97596
2016,10-<11,28820
2016,11-<12,9378
2016,12-<13,1749
2016,13-<14,554
2016,14-<15,305
2016,15-<16,428
2016,16-<17,450
2016,17-<18,434
2016,18-<19,462
2016,19-<20,345
2016,20->,5205
2017,0-<1,91614
2017,1-<2,87142
2017,2-<3,57335
2017,3-<4,28392
2017,4-<5,21269
2017,5-<6,26551
2017,6-<7,27412
2017,7-<8,41142
2017,8-<9,68076
2017,9-<10,88583
2017,10-<11,28487
2017,11-<12,28439
2017,12-<13,8728
2017,13-<14,1557
2017,14-<15,458
2017,15-<16,179
2017,16-<17,423
2017,17-<18,444
2017,18-<19,421
2017,19-<20,410
2017,20->,5194
2018,0-<1,79961
2018,1-<2,91204
2018,2-<3,85124
2018,3-<4,55790
2018,4-<5,26621
2018,5-<6,18912
2018,6-<7,23938
2018,7-<8,25854
2018,8-<9,39859
2018,9-<10,62955
2018,10-<11,37753
2018,11-<12,27376
2018,12-<13,25799
2018,13-<14,6677
2018,14-<15,1121
2018,15-<16,208
2018,16-<17,158
2018,17-<18,382
2018,18-<19,418
2018,19-<20,374
2018,20->,4968
2019,0-<1,72090
2019,1-<2,80002
2019,2-<3,90980
2019,3-<4,84164
2019,4-<5,52307
2019,5-<6,23794
2019,6-<7,16571
2019,7-<8,20572
2019,8-<9,22952
2019,9-<10,33902
2019,10-<11,37792
2019,11-<12,37464
2019,12-<13,25150
2019,13-<14,22224
2019,14-<15,4728
2019,15-<16,378
2019,16-<17,191
2019,17-<18,146
2019,18-<19,322
2019,19-<20,348
2019,20->,4519
